alumno,espanol,matematicas
1,DESCRIBE PERSONAJES QUE HA IDENTIFICADO EN LA NARRACIÛN DE CUENTOS Y LES ASIGNA CARACTERÌSTICAS CADA VEZ M·S PRECISAS Y ES CAPAZ DE ESCRIBIR PALABRAS GUI·NDOSE DE PORTADORES DE TEXTO.,"UTILIZA ESTRATEGIAS DE CONTEO COMO LA ORGANIZACIÛN EN FILA O CONTEO UNO A UNO, LOGRA IDENTIFICAR EL VALOR CARDINAL DE LAS COLECCIONES Y LOGRA REPRESENTARLO AL ESCRIBIR EL N˙MERO. "
2,REQUIERE SEGUIR TRABAJANDO EN SUS APRENDIZAJES.,SEGUIR TRABAJANDO EN SUS APRENDIZAJES.
3,EXPRESA IDEAS SENCILLAS Y ESCUCHA LAS DE OTROS CON EL PROP”SITO DEL INTERCAMBIO Y DE LO QUE SE QUIERE DAR A CONOCER. SU ESCRITURA PRESENTA RASGOS DEL SEGUNDO NIVEL EN EL PROCESO DE APRENDIZAJE DEL SISTEMA DE ESCRITURA CONTROL DE CANTIDAD DE GRAFÕAS,"ES CAPAZ DE FORMAR UNA GRAN VARIEDAD DE MODELOS Y FORMAS UTILIZANDO FIGURAS GEOM…TRICAS Y MATERIAL RECICLABLE Y DE ACUERDO A LA FORMA QUE ES LO QUE REPRESENTA EN SU IMAGEN , LOGRA INTERPRETAR T…RMINOS DE LATERALIDAD ARRIBA, ABAJO, DENTRO,FUERA."
4,"ESCRIBE SU NOMBRE COMPLETO, EXPRESA SU OPINION SOBRE ALGUN TEMA, IDENTIFICA ALGUNAS PALABRAS QUE RIMAN, LOGRA INVENTAR EL FINAL DE UNA HISTORIA","LOGRA DESCRIBIR E IDENTIFICAR LOS USOS QUE SE LE DAN A LOS NUMEROS EN LA VIDA COTIDIANA, REALIZA RESOLUCION DE PROBLEMAS DONDE SE REPARTEN O SUMAN ELEMENTOS"
5,"MUESTRA INTERÈS POR ESCUCHAR NOTICIAS QUE SE DIFUNDEN EN  PERIÛDICO, RADIO Y TELEVISIÛN Y COMENTA SOBRE LOS DETALLES QUE LLAMAN SU ATENCIÛN. TAMBIÈN DE  TEXTOS COMO INSTRUCTIVOS, CARTAS, RECADOS Y SEÒALAMIENTOS;NIVEL DE ESCRITURA :SIL·BICO","LOGRA HACER USO ADECUADO DE MONEDAS DE 1,2 Y 5 EN SITUACIONES DE JUEGO DE COMPRA VENTA. IDENTIFICA LOS DIFERENTES USOS Y FUNCIONES DE LOS N˙MEROS EN SU VIDA COTIDIANA Y DEPENDIENDO DEL CONTEXTO EN QUE SE CUENTAN DETERMINA QUE  EXPRESAR CONTEO ORAL 35"
6,"REPITE FRENTE A SU FAMILIA  TRABALENGUAS, RIMAS, CANCIONES Y POEMAS QUE ESCUCHA. NARRA HISTORIAS QUE CONOCE DE FORMA BREVE Y CUANDO SE LE CUESTIONA DE FORMA DIRECTA COMENTA ACERCA DE LOS PERSONAJES Y SUS CARACTERÕSTICAS.","UTILIZA LAS DIFERENTES FIGURAS GEOM…TRICAS PARA REPRODUCIR FORMAS GEOM…TRICAS DE MANERA LIBRE Y CON AYUDA SIGUIENDO ALGUNOS MODELOS. UTILIZA LAS REFERENCIAS ARRIBA, ABAJO, ADENTRO, AFUERA, AL LADO, EN FRENTE EN ALGUNAS DIN¡MICAS PARA UBICAR OBJETOS"
7,"CONOCE LETRAS Y SU SONIDO EL CUAL RELACIONA CON LA ESCRITURA UBIC·NDOSE EN NIVEL ALFABÈTICO DE ESCRITURA.
IDENTIFICA DIFERENTES GENERAS LITERARIOS Y LE GUSTA ESCUCHAR CUENTOS,  IDENTIFICA PARTES DEL LIBRO COMO PORTADA TÌTULO, TEXTO, IMAGEN
","USA LAS MONEDAS CON SU VALOR REAL PARA SITUACIONES DE LA VIDA COTIDIANA COMO COMPRAR. RESUELVE PROBLEMAS USANDO LAS MISMAS AL SUMAR CANTIDADES DE DIFERENTES PRODUCTOS QUE COMPRARA.
IDENTIFICA FIGURAS GEOMÈTRICAS Y LAS DESCRIBE TOMANDO EN CUENTA SUS L"
8,SE OBSERVA UN AVANCE SIGNIFICATIVO EN SU EXPRESIÛN ORAL; HA LOGRADO AMPLIAR SU VOCABULARIO FORMULANDO CADA VEZ FRASES M·S COMPLEJAS EN SU EXPRESIÛN. MENCIONA CARACTERÌSTICAS Y ATRIBUTOS DE PERSONAJES DE HISTORIAS Y CUENTOS QUE ESCUCHA. CON CLARIDAD E,EN SITUACIONES Y PROBLEMAS QUE SE LE PLANTEA COMIENZA A RECONOCER LOS DATOS IMPORTANTES DEL MISMO QUE LE PUEDEN AYUDAR A LA RESOLUCIÛN. IMPLEMENTA DISTINTAS ESTRATEGIAS DE CONTEO DE COLECCIONES Y LAS EXPRESA. EXPRESA LOS N˙MEROS DE FORMA ORAL EN ORDE
9,"EXPLICA INFORMACIÛN SOBRE TEMAS DE RELEVANCIA SOCIAL, COMO MEDIDAS PARA PREVENIR EL CORONAVIRUS.
DESCRIBE LO QUE OBSERVA EN IM·GENES DE PAISAJES, LUGARES.
SELECCIONA ACERVOS DE INTERÈS COMO CUENTOS, NARRA LA HISTORIA, IDENTIFICA PERSONAJES.
MODIFICA ","CUENTA ORALMENTE LOS N˙MEROS HASTA EL 15, SEÒALANDO CADA N˙MERO.
IDENTIFICA DONDE AHÌ MUCHOS Y POCOS EN CONJUNTOS DE MATERIAL CONCRETO.
CLASIFICA CONJUNTOS POR COLOR, TAMAÒO, Y CARACTERÌSTICAS QUE LOS HACEN SEMEJANTES.
"
10,VA AMPLIANDO EL CONOCIMIENTO QUE TIENE DEL SISTEMA DE ESCRITURA. INTENTA ESCRIBIR CON AYUDA PALABRAS. COMPLETA RIMAS,"RAZONA PARA RESOLVER PROBLEMAS QUE SE LE PLANTEAN, HACIENDO USO DE LOS N˙MEROS QUE CONOCE. SIGUE SECUENCIAS EN FORMA GR·FICA. REGISTRA INFORMACIÛN EN GR·FICAS. "
